instance,set,n_customers,seed,cost,optimal,gap,n_routes,k_reference,init_cost,init_gap,iterations,runtime,time_to_best,iter_to_best,time_limit,stop_reason
P-n22-k8,P,21,4,603,603.0,0.0,8,8,691,14.593698175787727,30104,5.7117289589950815,0.021679041965398937,104,15.0,stall_limit
P-n22-k8,P,21,5,603,603.0,0.0,8,8,603,0.0,30000,5.698943125025835,0.0,0,15.0,stall_limit
P-n23-k8,P,22,1,529,529.0,0.0,8,8,533,0.7561436672967864,30037,3.9904929170152172,0.008337042003404349,37,15.0,stall_limit
P-n23-k8,P,22,2,529,529.0,0.0,8,8,533,0.7561436672967864,30060,3.9096502080210485,0.007157624990213662,60,15.0,stall_limit
P-n23-k8,P,22,3,529,529.0,0.0,8,8,529,0.0,30000,4.10047087498242,0.0,0,15.0,stall_limit
P-n23-k8,P,22,4,529,529.0,0.0,8,8,533,0.7561436672967864,30060,4.190970416995697,0.010975666984450072,60,15.0,stall_limit
P-n23-k8,P,22,5,529,529.0,0.0,8,8,529,0.0,30000,4.032322374987416,0.0,0,15.0,stall_limit
P-n40-k5,P,39,1,458,458.0,0.0,5,5,503,9.825327510917031,25865,15.007361083989963,0.02236516698030755,43,15.0,time_limit
P-n40-k5,P,39,2,458,458.0,0.0,5,5,499,8.951965065502183,25544,15.1651258750353,0.02452191704651341,37,15.0,time_limit
P-n40-k5,P,39,3,458,458.0,0.0,5,5,499,8.951965065502183,25062,15.000110124994535,0.042342707980424166,73,15.0,time_limit
P-n40-k5,P,39,4,458,458.0,0.0,5,5,505,10.262008733624453,25122,15.000327290967107,0.02576091600349173,37,15.0,time_limit
P-n40-k5,P,39,5,458,458.0,0.0,5,5,484,5.676855895196507,24867,15.000018417020328,0.04084395803511143,63,15.0,time_limit
P-n45-k5,P,44,1,510,510.0,0.0,5,5,556,9.019607843137255,22931,15.00187300000107,0.10780883301049471,191,15.0,time_limit
P-n45-k5,P,44,2,510,510.0,0.0,5,5,560,9.803921568627452,22380,15.001698917010799,0.3662122920504771,623,15.0,time_limit
P-n45-k5,P,44,3,510,510.0,0.0,5,5,561,10.0,22290,15.001149207993876,0.01992870803223923,32,15.0,time_limit
P-n45-k5,P,44,4,510,510.0,0.0,5,5,525,2.9411764705882355,22171,15.00198379199719,0.061956999998074025,85,15.0,time_limit
P-n45-k5,P,44,5,510,510.0,0.0,5,5,523,2.549019607843137,21769,15.00046074995771,0.027216958987992257,58,15.0,time_limit
P-n50-k10,P,49,1,697,696.0,0.14367816091954022,10,10,742,6.609195402298851,24967,15.000384167011362,1.7816275419900194,1553,15.0,time_limit
P-n50-k10,P,49,2,697,696.0,0.14367816091954022,10,10,728,4.597701149425287,25871,15.000254916027188,6.216978041047696,9471,15.0,time_limit
